,param,description,physcl_value,ori_unit,Note,reference,Ref Comment,Note
,_l,PVS thickness,40,μm,,https://www.nature.com/articles/s41467-018-07318-3#Sec2,[Mouse],_<parameter> represents the parameters with dimension
,_L,Half length between PVS,200,μm,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5144134/#b10,[Mouse] half-length of the PVS of a vessel,"SI value refer to standard unit e.g., length (metre), time (second), area (square metre) etc."
,_H,PVS Height,200,μm,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5144134/#b10,[Mouse] PVS model domain length (L),
,_omega,oscillation frequency,10,Hz or 1/s,,,,
,_k,Permeability,1e-16,m²,10^-16,https://pmc.ncbi.nlm.nih.gov/articles/PMC9623946/pdf/12987_2022_Article_376.pdf,[Human],
,_mu,Dynamic viscosity,7e-04,Pa*s,0.7*10^-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC9623946/pdf/12987_2022_Article_376.pdf,[Human],
,_u_x,characteristic velocity,100,μm/s,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5144134/#b10,[Mouse],
,_D,Diffusion coefficient,1e-12,squaremeter/s,10^-12,https://pmc.ncbi.nlm.nih.gov/articles/PMC5144134/#b10,[Mouse],
,,,,,,,
